Book,Line,Text
1,1,"Iau Sauléle wėl atkópdămă buddı̆nŏ Swieta"
1,2,"Ir Ʒ́iemôs ſʒaltôs Truſùs pargráudămă jůkės."
1,3,"Sʒalcʒû Prámonės ſŭ Lĕdaìs ſugaìſʒtı̆ păgâwo;"
1,4,"Ir puttódam's Snieg's wiſſùr į Nieką̆ păwirto."
1,5,"Tů Laukùs Oraì drungnì gaiwįdămı̆ glóſtė,"
1,6,"Ir Ʒ́ŏlĕlès wiſſókias ı̆ſʒ Numirrŭſŭ ſʒaùkė."
1,7,"Krúmus ſù Sʒillaìs wiſſaìs ı̆ſſı̆buddı̆nŏ kéltı̆ſ'"
1,8,"O Laukû Kalnaì ſù Klóneis pàmĕtĕ Skrándas."
1,9,"Wiſſlâb, kàs Ruddens Biaurybėj' numı̆rĕ wèrkdams;"
1,10,"Wiſſlâb, kàs Eʒ́ĕrè gywéndams pérʒiĕmăwójo,"
1,11,"Ar po ſàwô Kĕrrù pèr Ʒ́iemą bùwŏ miĕgójęs,"
1,12,"Wiſſlab tů Pulkaìs iſʒlindo Wáſărą ſweikįt'."
1,13,"Ʒ́ùrkės ſù Sʒeſʒkaìs iſʒ ſʒálto Páſʒăliŏ tráukės."
1,14,"Wárnos ir Warnaì ſù Sʒárkôm's irgı̆ Pĕlėdôm's;"
1,15,"Pélės ſù Waikaìs, ir Kùrmjei Sʒillŭmą̆ gyrė."
1,16,"Muſſės ir Wăbălaì, Ůdaì ſù Kaìmĕnĕ Blùſſû,"
1,17,"Mùs jau wárgįt wėl Pulkaìs wiſſùr ſŭſı̆rinko,"
1,18,"Ir Ponùs taip, kaip Burùs įgélt' ı̆ſſiʒ́ójo."
1,19,"Bèt ir Bittin's jau Sʒeimyną ſàwŏ păbuddįt',"
1,20,"Ir prie Dárbo ſûſt' bèy ką pelnyt' n'ŭſſı̆mir̂ſʒo."
1,21,"Tů Pulkaì jû pro Plyſʒiùs iſʒlystı̆ păgáwo,"
1,22,"Ir lakſtydămı̆ ſù Birbynems ʒ̇aiſtı̆ prădėjo;"
1,23,"O Woraì Kampůs' sėdėdămı̆ Werpălŭs áudė,"
1,24,"Irgı̆ mĕdʒ̇ót', Tinklùs tylóm's kŏpı̆nėdămı̆ méʒgė."
1,25,"Bèt ir Méſʒkos ir Wilkaì ſʒŏkı̆nėdămı̆ dʒ̇augėſ',"
1,26,"Ir ſuplėſʒit' ką tylôms į Págı̆rrı̆ tráukėſ'."
1,27,"Allĕ kŏkie Dywaì neywien's iſʒ dìddĕlı̆o Pùlko"
1,28,"Werkdams, ar duſáudams mùs lankyt' nĕ sŭgryʒ̇o;"
1,29,"Nè! nè wèrkt, bèt linksmįtis' wiſſì ſŭſı̆rinko;"
1,30,"Nės Darbai Ʒ́iemôs wiſſùr jau bùwŏ ſŭgaiſʒę,"
1,31,"Irgı̆ Păwáſărı̆s ant wiſſû Laukû păsı̆ródė."
1,32,"Tů potâm Păſʒăleì wiſſì kribʒ̇dėtı̆ păgáwo,"
1,33,"Irgı̆, bĕſʒûkaujant Pulakâms, Oſʒimm's păſı̆kėlė."
1,34,"Wien's ſtorày, o kitt's laibày dainůotı̆ mŏkėdams,"
1,35,"Ir linksmày lakſtydams ik' Dĕbĕſiu kŏpı̆nėjo;"
1,36,"O kitt's ans Sʒakku kŏpı̆nėdams gárbı̆nŏ Díewą."
1,37,"Bèt ir Walgiû dėl ſkupû neywien's nĕſı̆ſkùndė."
1,38,"Rûnai ſʒio ir to diddèy jau bùwŏ nŭdillę;"
1,39,"O tûl's lópitą parlėkdam's pàrnĕſʒė̆ Kůdą,"
1,40,"Ir păſı̆ſótit' ant Laukû wôs Máʒ̇ŭmą̆ rádo."
1,41,"O ſʒtai ir taipô parwàrgęs niek's nĕ dĕjáwo;"
1,42,"Bèt wissì wissùr sŭmı̆ſʒày ſʒŏkı̆nėdămı̆ dʒ̇augės -"
1,43,"Gandras ſù kittais Kaimynais pàrlĕkĕ linksmas,"
1,44,"Ir găſpădóriſʒkay ant Kraiko tárſʒkı̆nŏ Snápą,"
1,45,"Taip bĕſı̆dʒ̇augiant jâm ſʒtai jau ir jo Găſpădinnė,"
1,46,"Iſʒ ſʒaltôs Gaſpádôs wėl iſʒlindŭſı̆ rádoſ',"
1,47,"Ir ſù ſàwŏ Snăpù meilingą ſwéikı̆nŏ Draùgą."
1,48,"Kraiką jie wissùr diddey ſudrìſkŭſı̆ rádo;"
1,49,"Ogı̆ Nămùs naujùs, uʒ̇pérnay tikt bŭdăwótus,"
1,50,"Rádo ant wìſſû Kampû permier' păgădįtus."
1,51,"Sienas ir Cʒytùs, ir daug naujı̆ntĕliŭ Spárû"
1,52,"Wejai ſù Sparnaìs nů Kraiko bùwŏ nŭplė̂szę."
